,team_abbr,team,G,W,L,passes_made,asst,secondary_asst,potential_asst,year
11,IND,Indiana Pacers,81,42,39,286.4,22.4,2.9,47.4,2016-17
12,LAC,LA Clippers,82,51,31,301.7,22.5,2.9,43.2,2016-17
13,LAL,Los Angeles Lakers,82,26,56,288.4,20.9,2.2,42.7,2016-17
14,MEM,Memphis Grizzlies,82,43,39,303.3,21.3,3.1,46.4,2016-17
15,MIA,Miami Heat,82,41,41,283.4,21.2,2.8,45.9,2016-17
16,MIL,Milwaukee Bucks,82,42,40,289.0,24.2,3.1,47.5,2016-17
17,MIN,Minnesota Timberwolves,82,31,51,285.4,23.7,2.7,45.4,2016-17
18,NOP,New Orleans Pelicans,82,34,48,298.4,22.8,2.4,46.2,2016-17
19,NYK,New York Knicks,82,31,51,326.6,21.8,2.9,47.2,2016-17
20,OKC,Oklahoma City Thunder,82,47,35,255.3,21.0,2.1,45.7,2016-17
21,ORL,Orlando Magic,82,29,53,295.9,22.2,3.0,49.3,2016-17
22,PHI,Philadelphia 76ers,82,28,54,352.4,23.8,2.7,49.4,2016-17
23,PHX,Phoenix Suns,80,23,57,297.7,19.6,2.1,43.4,2016-17
24,POR,Portland Trail Blazers,82,41,41,277.4,21.1,2.5,44.1,2016-17
25,SAC,Sacramento Kings,82,32,50,317.6,22.5,2.6,46.2,2016-17
26,SAS,San Antonio Spurs,81,61,20,316.3,23.9,3.3,45.2,2016-17
27,TOR,Toronto Raptors,81,50,31,273.4,18.5,2.6,39.2,2016-17
28,UTA,Utah Jazz,82,51,31,314.9,20.1,2.7,42.6,2016-17
29,WAS,Washington Wizards,82,49,33,265.4,23.9,3.0,46.4,2016-17
0,ATL,Atlanta Hawks,81,24,57,328.7,23.7,2.5,46.2,2017-18
1,BOS,Boston Celtics,79,52,27,304.0,22.5,3.0,42.7,2017-18
2,BKN,Brooklyn Nets,80,27,53,327.6,23.8,2.8,47.7,2017-18
3,CHA,Charlotte Hornets,82,36,46,281.5,21.6,3.1,42.0,2017-18
4,CHI,Chicago Bulls,82,27,55,302.3,23.5,2.4,46.0,2017-18
5,CLE,Cleveland Cavaliers,82,50,32,273.3,23.4,3.0,44.0,2017-18
6,DAL,Dallas Mavericks,82,24,58,304.0,22.7,3.1,43.2,2017-18
7,DEN,Denver Nuggets,82,46,36,304.2,25.1,3.1,44.2,2017-18
8,DET,Detroit Pistons,82,39,43,299.0,22.8,2.5,44.5,2017-18
9,GSW,Golden State Warriors,82,58,24,322.7,29.3,4.7,50.9,2017-18
10,HOU,Houston Rockets,82,65,17,254.3,21.5,2.2,43.6,2017-18
11,IND,Indiana Pacers,82,48,34,298.0,22.2,2.4,43.1,2017-18
12,LAC,LA Clippers,82,42,40,295.9,22.3,2.9,39.3,2017-18
13,LAL,Los Angeles Lakers,82,35,47,282.1,23.8,2.8,45.5,2017-18
14,MEM,Memphis Grizzlies,82,22,60,322.3,21.5,3.3,42.9,2017-18
15,MIA,Miami Heat,81,43,38,304.7,22.8,2.8,47.5,2017-18
16,MIL,Milwaukee Bucks,81,44,37,284.6,23.2,2.9,42.8,2017-18
17,MIN,Minnesota Timberwolves,82,47,35,286.7,22.7,2.5,41.2,2017-18
18,NOP,New Orleans Pelicans,82,48,34,305.9,26.8,3.0,47.1,2017-18
19,NYK,New York Knicks,81,28,53,320.1,23.3,3.0,45.2,2017-18
20,OKC,Oklahoma City Thunder,80,48,32,254.0,21.4,2.4,43.1,2017-18
21,ORL,Orlando Magic,82,25,57,292.3,23.4,2.4,46.3,2017-18
22,PHI,Philadelphia 76ers,81,52,29,343.9,27.2,3.6,52.4,2017-18
23,PHX,Phoenix Suns,82,21,61,292.3,21.3,2.3,44.4,2017-18
24,POR,Portland Trail Blazers,82,49,33,271.0,19.5,2.2,40.1,2017-18
25,SAC,Sacramento Kings,82,27,55,315.8,21.6,2.7,42.3,2017-18
26,SAS,San Antonio Spurs,82,47,35,314.0,22.8,4.0,42.7,2017-18
27,TOR,Toronto Raptors,82,59,23,300.0,24.3,3.3,46.3,2017-18
28,UTA,Utah Jazz,82,48,34,318.8,22.4,2.9,43.2,2017-18
29,WAS,Washington Wizards,82,43,39,293.0,25.2,3.2,47.4,2017-18
0,ATL,Atlanta Hawks,82,29,53,300.0,25.8,2.8,48.4,2018-19
1,BOS,Boston Celtics,82,49,33,296.4,26.3,3.7,47.6,2018-19
2,BKN,Brooklyn Nets,82,42,40,309.0,23.8,2.7,45.1,2018-19
3,CHA,Charlotte Hornets,82,39,43,290.0,23.2,2.9,42.3,2018-19
4,CHI,Chicago Bulls,81,22,59,284.4,22.0,1.8,39.0,2018-19
5,CLE,Cleveland Cavaliers,82,19,63,284.3,20.7,2.3,38.8,2018-19
6,DAL,Dallas Mavericks,82,33,49,313.6,23.4,3.1,44.2,2018-19
7,DEN,Denver Nuggets,82,54,28,312.4,27.4,3.7,47.2,2018-19
8,DET,Detroit Pistons,82,41,41,307.1,22.5,3.1,43.8,2018-19
9,GSW,Golden State Warriors,82,57,25,320.2,29.4,3.9,52.6,2018-19
10,HOU,Houston Rockets,82,53,29,246.0,21.2,2.5,41.2,2018-19
11,IND,Indiana Pacers,82,48,34,307.3,26.0,3.3,45.0,2018-19
12,LAC,LA Clippers,82,48,34,303.3,24.0,2.7,40.9,2018-19
13,LAL,Los Angeles Lakers,82,37,45,277.7,25.6,3.0,47.2,2018-19
14,MEM,Memphis Grizzlies,82,33,49,329.8,23.9,3.7,45.1,2018-19
15,MIA,Miami Heat,82,39,43,301.3,24.3,2.8,46.4,2018-19
16,MIL,Milwaukee Bucks,82,60,22,284.5,26.0,2.8,46.8,2018-19
17,MIN,Minnesota Timberwolves,82,36,46,290.4,24.6,3.0,44.4,2018-19
18,NOP,New Orleans Pelicans,82,33,49,309.7,27.0,2.9,47.8,2018-19
19,NYK,New York Knicks,81,17,64,293.4,20.1,2.4,39.3,2018-19
20,OKC,Oklahoma City Thunder,81,48,33,242.4,23.4,2.2,45.0,2018-19
21,ORL,Orlando Magic,80,40,40,283.6,25.7,3.4,49.1,2018-19
22,PHI,Philadelphia 76ers,81,51,30,316.8,26.9,3.4,49.7,2018-19
23,PHX,Phoenix Suns,82,19,63,306.3,23.9,2.8,44.7,2018-19
24,POR,Portland Trail Blazers,82,53,29,281.7,23.0,2.8,42.1,2018-19
25,SAC,Sacramento Kings,82,39,43,292.0,25.4,2.9,44.6,2018-19
26,SAS,San Antonio Spurs,82,48,34,280.8,24.5,3.2,40.7,2018-19
27,TOR,Toronto Raptors,82,58,24,298.6,25.4,4.0,46.1,2018-19
28,UTA,Utah Jazz,81,50,31,310.7,26.1,3.8,49.0,2018-19
29,WAS,Washington Wizards,81,31,50,293.1,26.3,3.5,48.1,2018-19
0,ATL,Atlanta Hawks,67,20,47,271.2,24.0,2.6,45.7,2019-20
1,BOS,Boston Celtics,72,48,24,283.0,23.0,2.4,40.4,2019-20
2,BKN,Brooklyn Nets,72,35,37,277.0,24.5,3.4,45.4,2019-20
3,CHA,Charlotte Hornets,64,23,41,307.6,23.8,3.2,44.7,2019-20
4,CHI,Chicago Bulls,65,22,43,285.1,23.2,2.8,45.7,2019-20
5,CLE,Cleveland Cavaliers,65,19,46,289.2,23.1,2.6,43.6,2019-20
6,DAL,Dallas Mavericks,73,41,32,289.6,24.6,3.3,46.3,2019-20
7,DEN,Denver Nuggets,73,46,27,305.5,26.7,3.0,45.5,2019-20
8,DET,Detroit Pistons,65,20,45,288.1,24.1,2.4,45.6,2019-20
9,GSW,Golden State Warriors,65,15,50,333.3,25.6,3.5,47.4,2019-20
10,HOU,Houston Rockets,72,44,28,243.9,21.6,3.0,43.9,2019-20
11,IND,Indiana Pacers,73,45,28,295.6,25.9,2.9,46.8,2019-20
