,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year
20,Oklahoma City Thunder,49,33,0.598,8.0,114.5,111.1,3.56,7.0,82,242.1,42.6,94.0,0.454,11.4,32.6,0.348,31.3,61.3,0.51,17.8,25.0,0.713,12.6,35.5,48.1,23.4,9.3,5.2,14.0,22.4,114.5,Oklahoma City Thunder_2019
21,San Antonio Spurs,48,34,0.585,9.0,111.7,110.0,1.8,17.0,82,241.5,42.3,88.4,0.478,9.9,25.3,0.392,32.4,63.1,0.513,17.2,21.0,0.819,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7,San Antonio Spurs_2019
22,Los Angeles Clippers,48,34,0.585,9.0,115.1,114.3,1.09,5.0,82,241.8,41.3,87.5,0.471,10.0,25.8,0.388,31.3,61.7,0.507,22.6,28.5,0.792,9.7,35.8,45.5,24.0,6.8,4.7,14.5,23.3,115.1,Los Angeles Clippers_2019
23,Sacramento Kings,39,43,0.476,18.0,114.2,115.3,-0.81,9.0,82,240.6,43.2,93.1,0.464,11.3,29.9,0.378,31.9,63.2,0.504,16.5,22.7,0.726,11.0,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2,Sacramento Kings_2019
24,Los Angeles Lakers,37,45,0.451,20.0,111.8,113.5,-1.33,16.0,82,241.2,42.6,90.5,0.47,10.3,31.0,0.333,32.2,59.6,0.541,16.3,23.3,0.699,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8,Los Angeles Lakers_2019
25,Minnesota Timberwolves,36,46,0.439,21.0,112.5,114.0,-1.02,13.0,82,241.8,41.6,91.3,0.456,10.1,28.7,0.351,31.5,62.5,0.504,19.1,24.3,0.787,11.3,33.5,44.8,24.6,8.3,5.0,13.1,20.3,112.5,Minnesota Timberwolves_2019
26,Memphis Grizzlies,33,49,0.402,24.0,103.5,106.1,-2.08,30.0,82,242.4,38.0,84.4,0.45,9.9,28.9,0.342,28.1,55.6,0.505,17.7,23.0,0.772,8.8,33.0,41.8,23.9,8.3,5.5,14.0,22.0,103.5,Memphis Grizzlies_2019
27,New Orleans Pelicans,33,49,0.402,24.0,115.4,116.8,-1.1,3.0,82,240.9,43.7,92.2,0.473,10.3,29.9,0.344,33.4,62.4,0.536,17.8,23.4,0.761,11.1,36.2,47.3,27.0,7.4,5.4,14.8,21.1,115.4,New Orleans Pelicans_2019
28,Dallas Mavericks,33,49,0.402,24.0,108.9,110.1,-0.87,21.0,82,241.2,38.8,86.9,0.447,12.5,36.6,0.34,26.3,50.2,0.524,18.8,25.3,0.742,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9,Dallas Mavericks_2019
29,Phoenix Suns,19,63,0.232,38.0,107.5,116.8,-8.61,23.0,82,242.4,40.1,87.4,0.459,9.6,29.3,0.329,30.5,58.1,0.525,17.6,22.7,0.779,9.1,31.3,40.4,23.9,9.0,5.1,15.6,23.6,107.5,Phoenix Suns_2019
